Date,FCost,GCost
2022-12-24,308.6,868.25
2022-12-25,421.84,822.94
2022-12-26,475.16,814
2022-12-27,482.82,777.62
2022-12-28,642.92,699.32
2022-12-29,670.86,666.62
2022-12-31,590.24,778.37
2023-01-01,571.21,739.13
2023-01-02,343.2,813.75
2023-01-03,212.61,793.93
2023-01-04,188.56,906.38
2023-01-05,208.02,824.83
2023-01-06,219.84,998.91
2023-01-07,220.05,909.72
2023-01-08,223.13,715.51
2023-01-09,309.59,696.01
2023-01-09,306.68,696.01
2023-01-10,303.11,718.33
2023-01-10,302.98,718.33
2023-01-11,302.8,648.47
2023-01-11,308.25,648.47
2023-01-12,312.99,633.76
2023-01-12,329.35,633.76
2023-01-13,357.46,690.89
2023-01-14,385.55,603.97
2023-01-15,396.3,602.2
2023-01-16,373.1,639.74
2023-01-17,338.79,603.3
2023-01-18,332.83,510.61
2023-01-19,352.42,512.55
2023-01-20,364.33,661.77
2023-01-21,380.81,735.5
2023-01-22,378.43,618.87
2023-01-23,357.09,796.36
2023-01-24,398.64,821.4
2023-01-25,427.81,920.11
2023-01-26,482.26,953.75
2023-01-27,631.37,1033.62
2023-01-28,654.53,935.58
2023-01-29,680.78,867.19
2023-01-30,700.36,857.61
2023-01-31,338.86,383.59
2023-02-01,232.53,413.15
2023-02-02,301.55,439.11
2023-02-03,325.32,427.8
2023-02-04,328.82,413.66
2023-02-05,323.31,368.72
2023-02-06,313.22,356.9
2023-02-07,308.22,462.86
2023-02-08,305.92,537.17
2023-02-09,354.29,616.16
2023-02-10,381.9,547.74
2023-02-11,390.84,531.3
2023-02-12,386.8,481.97
2023-02-13,371.94,558.21
2023-02-14,418.35,1090.05
2023-02-15,489.34,1135.46
2023-02-16,519.79,1094.8
2023-02-17,516.98,1127.41
2023-02-18,550.44,1159.37
2023-02-19,544.57,1317.36
2023-02-20,513.11,1168.54
2023-02-21,491.39,1026.3
